"Variable","Test","P_value","P_ajustee","Significatif"
"number_inpatient","Wilcoxon",2.71968547516456e-37,1.08787419006583e-35,TRUE
"number_emergency","Wilcoxon",2.51131417493135e-10,5.02262834986271e-09,TRUE
"discharge_disposition_id","Wilcoxon",1.47312321243948e-09,1.96416428325264e-08,TRUE
"time_in_hospital","Wilcoxon",3.99931016390136e-07,3.99931016390136e-06,TRUE
"num_medications","Wilcoxon",6.31856947226195e-06,5.05485557780956e-05,TRUE
"insulin","Chi2",8.41902670861064e-05,0.000561268447240709,TRUE
"number_diagnoses","Wilcoxon",0.000254638268523328,0.0014550758201333,TRUE
"age","Chi2",0.00067980856819324,0.0033990428409662,TRUE
"A1Cresult","Chi2",0.000946932793958457,0.00420859019537092,TRUE
"number_outpatient","Wilcoxon",0.00206424139541777,0.00825696558167106,TRUE
